"﻿""Date""",Price,Open,High,Low,Vol.,Change %
09/06/2019,298.05,298.17,298.76,297.42,49.58M,0.08%
09/05/2019,297.82,296.79,298.83,294.00,83.36M,1.29%
09/04/2019,294.04,293.14,294.06,292.31,47.00M,1.14%
09/03/2019,290.74,290.57,291.58,289.27,69.23M,-0.58%
08/30/2019,292.45,294.22,294.24,291.42,62.96M,-0.04%
08/29/2019,292.58,291.72,293.16,290.61,58.00M,1.28%
08/28/2019,288.89,286.14,289.07,285.25,59.85M,0.70%
08/27/2019,286.87,289.54,289.95,286.03,68.26M,-0.39%
08/26/2019,288.00,287.27,288.00,285.58,72.62M,1.11%
08/23/2019,284.85,290.92,292.76,283.47,149.32M,-2.57%
08/22/2019,292.36,293.23,293.93,290.40,51.74M,-0.03%
08/21/2019,292.45,292.48,292.86,291.72,49.72M,0.81%
08/20/2019,290.09,291.77,292.36,289.95,51.65M,-0.77%
08/19/2019,292.33,292.19,293.08,291.44,53.64M,1.20%
08/16/2019,288.85,286.48,289.33,284.71,85.83M,1.48%
08/15/2019,284.65,284.88,285.64,282.39,101.93M,0.26%
08/14/2019,283.90,288.07,292.46,283.76,135.62M,-2.96%
08/13/2019,292.55,287.74,294.15,287.36,94.79M,1.56%
08/12/2019,288.07,289.96,291.61,287.02,65.53M,-1.22%
08/09/2019,291.62,292.58,293.24,289.65,93.73M,-0.68%
08/08/2019,293.62,289.62,293.62,289.01,87.71M,1.96%
08/07/2019,287.97,284.40,288.82,282.04,140.57M,0.06%
08/06/2019,287.80,285.91,288.04,284.28,120.71M,1.40%
08/05/2019,283.82,288.09,288.21,281.72,178.75M,-3.01%
08/02/2019,292.62,293.85,294.12,290.90,116.75M,-0.75%
08/01/2019,294.84,297.60,300.87,293.96,142.65M,-0.87%
07/31/2019,297.43,300.99,301.20,295.20,104.25M,-1.09%
07/30/2019,300.72,299.91,301.17,299.49,45.85M,-0.25%
07/29/2019,301.46,301.88,301.93,300.85,38.13M,-0.18%
07/26/2019,302.01,300.76,302.23,300.62,45.08M,0.67%
07/25/2019,300.00,300.94,301.00,299.11,55.39M,-0.48%
07/24/2019,301.44,299.19,301.44,299.09,47.21M,0.47%
07/23/2019,300.03,299.14,300.03,298.22,44.66M,0.72%
07/22/2019,297.90,297.61,298.50,297.04,43.69M,0.25%
07/19/2019,297.17,300.04,300.07,296.96,71.08M,-0.56%
07/18/2019,298.83,297.19,299.25,296.70,51.70M,0.37%
07/17/2019,297.74,299.75,299.93,297.74,44.10M,-0.66%
07/16/2019,299.71,300.65,300.88,299.44,40.57M,-0.35%
07/15/2019,300.75,301.13,301.13,300.19,33.91M,0.03%
07/12/2019,300.65,299.85,300.73,299.51,40.35M,0.45%
07/11/2019,299.31,299.32,299.58,298.20,50.89M,0.23%
07/10/2019,298.61,298.37,299.66,297.78,58.60M,0.48%
07/09/2019,297.19,295.54,297.52,295.48,41.10M,0.12%
07/08/2019,296.82,297.01,298.26,296.22,45.84M,-0.55%
07/05/2019,298.46,297.44,298.64,296.01,51.68M,-0.11%
07/03/2019,298.80,297.18,298.82,297.02,40.90M,0.80%
07/02/2019,296.43,295.61,296.49,294.68,61.50M,0.26%
07/01/2019,295.66,296.68,296.92,294.33,79.11M,0.91%
06/28/2019,293.00,292.58,293.55,292.01,59.35M,0.51%
06/27/2019,291.50,291.31,292.06,290.89,40.36M,0.35%
06/26/2019,290.47,291.75,292.31,290.35,51.58M,-0.10%
06/25/2019,290.76,293.70,293.73,290.64,82.03M,-0.98%
06/24/2019,293.64,294.23,294.58,293.47,47.58M,-0.12%
06/21/2019,294.00,294.13,295.52,293.76,83.31M,-0.63%
06/20/2019,295.86,296.04,296.31,293.13,116.57M,0.96%
06/19/2019,293.06,292.55,293.65,291.47,78.67M,0.23%
06/18/2019,292.40,291.39,293.57,290.99,85.43M,1.05%
06/17/2019,289.37,289.52,290.22,289.18,39.21M,0.04%
06/14/2019,289.26,289.26,289.93,288.41,52.32M,-0.11%
06/13/2019,289.58,289.40,289.98,288.62,48.95M,0.41%
06/12/2019,288.39,288.64,289.26,287.81,47.10M,-0.18%
06/11/2019,288.90,290.99,291.40,288.18,58.64M,-0.02%
06/10/2019,288.97,289.37,290.82,288.87,60.80M,0.46%
06/07/2019,287.65,285.93,288.85,285.74,74.27M,1.00%
06/06/2019,284.80,283.29,285.55,282.57,69.43M,0.65%
06/05/2019,282.96,282.33,282.99,280.32,71.17M,0.87%
06/04/2019,280.53,277.12,280.68,276.62,77.23M,2.17%
06/03/2019,274.57,275.31,276.55,273.09,96.43M,-0.25%
05/31/2019,275.27,276.20,277.12,275.24,86.86M,-1.35%
05/30/2019,279.03,279.11,280.04,277.81,62.52M,0.27%
05/29/2019,278.27,278.91,279.36,276.71,104.97M,-0.67%
05/28/2019,280.15,283.09,284.15,280.13,70.03M,-0.93%
05/24/2019,282.78,283.74,284.20,282.09,55.27M,0.23%
05/23/2019,282.14,283.16,283.21,280.57,98.73M,-1.22%
05/22/2019,285.63,285.45,286.69,285.10,49.48M,-0.31%
05/21/2019,286.51,285.83,286.93,285.55,46.85M,0.90%
05/20/2019,283.95,284.06,285.43,283.12,62.88M,-0.66%
05/17/2019,285.84,285.14,288.60,285.12,100.35M,-0.65%
05/16/2019,287.70,285.84,289.21,285.76,76.75M,0.93%
05/15/2019,285.06,281.59,285.77,281.36,73.96M,0.59%
05/14/2019,283.40,281.99,285.10,281.85,77.00M,0.90%
05/13/2019,280.86,282.42,283.49,279.93,127.29M,-2.51%
05/10/2019,288.10,285.62,288.94,282.30,112.43M,0.50%
05/09/2019,286.66,285.23,287.33,283.30,103.47M,-0.30%
05/08/2019,287.53,287.53,289.43,286.87,91.57M,-0.14%
05/07/2019,287.93,290.15,290.81,285.81,144.73M,-1.67%
05/06/2019,292.82,289.25,293.31,288.90,107.20M,-0.41%
05/03/2019,294.03,292.82,294.34,291.30,56.54M,0.98%
05/02/2019,291.18,291.68,292.70,289.52,65.03M,-0.22%
05/01/2019,291.81,294.72,294.95,291.80,71.67M,-0.75%
04/30/2019,294.02,293.49,294.34,291.92,81.11M,0.05%
04/29/2019,293.87,293.51,294.45,293.41,57.20M,0.16%
04/26/2019,293.41,292.10,293.49,291.24,50.92M,0.47%
04/25/2019,292.05,292.12,292.78,290.73,57.77M,-0.06%
04/24/2019,292.23,292.79,293.16,292.07,50.39M,-0.22%
04/23/2019,292.88,290.68,293.14,290.42,52.25M,0.90%
04/22/2019,290.27,289.17,290.44,289.07,40.16M,0.09%
04/18/2019,290.02,290.10,290.32,288.66,68.71M,0.20%
04/17/2019,289.45,291.40,291.43,288.99,58.27M,-0.24%
04/16/2019,290.16,290.95,291.01,289.50,52.15M,0.07%
04/15/2019,289.97,290.24,290.35,289.07,49.60M,-0.07%
04/12/2019,290.16,290.00,290.47,288.26,69.73M,0.68%
04/11/2019,288.21,288.83,288.84,287.58,55.09M,-0.03%
04/10/2019,288.29,287.77,288.39,287.31,52.60M,0.34%
04/09/2019,287.31,287.72,288.08,286.70,66.14M,-0.51%
04/08/2019,288.79,288.10,288.91,287.37,53.57M,0.08%
04/05/2019,288.57,287.92,288.63,287.60,58.62M,0.48%
04/04/2019,287.18,286.78,287.46,286.01,49.00M,0.27%
04/03/2019,286.42,287.32,287.76,285.75,68.24M,0.16%
04/02/2019,285.97,286.04,286.23,285.09,40.07M,0.05%
04/01/2019,285.83,284.70,286.16,284.40,77.62M,1.19%
03/29/2019,282.48,282.39,282.84,281.14,82.19M,0.63%
03/28/2019,280.71,280.35,281.21,279.07,56.24M,0.38%
03/27/2019,279.65,281.11,281.76,277.93,72.22M,-0.52%
03/26/2019,281.12,280.99,282.18,279.56,68.13M,0.75%
03/25/2019,279.04,278.87,280.19,277.64,85.58M,-0.08%
